channel,peak_order,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence,distance_samples,distance_seconds,prominence_threshold
1,0,87,87,2025-09-12T08:49:21Z,5244.0,5244.111111111111,1541.19052,3.3573100000000977,3.3254400000000714,2,0.2,0.1
1,1,176,176,2025-09-12T08:49:30Z,5253.0,5253.1,1541.24045,3.4072400000000016,3.3651299999999083,2,0.2,0.1
1,2,266,266,2025-09-12T08:49:39Z,5262.0,5262.1,1541.35094,3.5177300000000287,3.4689700000001267,2,0.2,0.1
1,3,350,350,2025-09-12T08:49:48Z,5271.0,5271.0,1541.37378,3.5405699999998888,3.48804999999993,2,0.2,0.1
1,4,424,424,2025-09-12T08:49:57Z,5280.0,5280.0,1541.62357,3.790359999999964,3.7348400000000765,2,0.2,0.1
1,5,508,508,2025-09-12T08:50:06Z,5289.0,5289.1,1541.6446,3.811390000000074,3.777469999999994,2,0.2,0.1
1,6,595,595,2025-09-12T08:50:15Z,5298.0,5298.1,1541.57784,3.7446299999999155,3.684979999999996,2,0.2,0.1
1,7,683,683,2025-09-12T08:50:24Z,5307.0,5307.0,1541.52873,3.6955199999999877,3.633010000000013,2,0.2,0.1
1,8,772,772,2025-09-12T08:50:33Z,5316.0,5316.181818181818,1541.49672,3.6635100000000875,3.5999500000000353,2,0.2,0.1
1,9,850,850,2025-09-12T08:50:42Z,5325.0,5325.0,1541.44558,3.6123700000000554,3.5465300000000752,2,0.2,0.1
1,10,1035,1035,2025-09-12T08:51:02Z,5345.0,5345.0,1541.64227,3.809060000000045,3.751560000000154,2,0.2,0.1
1,11,1126,1126,2025-09-12T08:51:11Z,5354.0,5354.1,1541.62266,3.789449999999988,3.725500000000011,2,0.2,0.1
1,12,1216,1216,2025-09-12T08:51:20Z,5363.0,5363.1,1541.61556,3.7823499999999513,3.7148500000000695,2,0.2,0.1
1,13,1302,1302,2025-09-12T08:51:29Z,5372.0,5372.1,1541.66024,3.8270299999999224,3.7557299999998577,2,0.2,0.1
1,14,1376,1376,2025-09-12T08:51:38Z,5381.0,5381.111111111111,1541.67824,3.8450299999999515,3.7722799999999097,2,0.2,0.1
1,15,1458,1458,2025-09-12T08:51:47Z,5390.0,5390.0,1541.62471,3.791500000000042,3.71837000000005,2,0.2,0.1
1,16,1548,1548,2025-09-12T08:51:56Z,5399.0,5399.1,1541.70243,3.869220000000041,3.8336000000001604,2,0.2,0.1
1,17,1637,1637,2025-09-12T08:52:05Z,5408.0,5408.1,1541.67103,3.837819999999965,3.763050000000021,2,0.2,0.1
1,18,1726,1726,2025-09-12T08:52:14Z,5417.0,5417.0,1541.61624,3.7830300000000534,3.7066999999999553,2,0.2,0.1
1,19,1805,1805,2025-09-12T08:52:23Z,5426.0,5426.111111111111,1541.58547,3.7522599999999784,3.675899999999956,2,0.2,0.1
1,20,2055,2055,2025-09-12T08:52:49Z,5452.0,5452.1,1541.89702,4.063810000000103,4.022220000000061,2,0.2,0.1
1,21,2144,2144,2025-09-12T08:52:58Z,5461.0,5461.0,1541.85421,4.020999999999958,3.9564000000000306,2,0.2,0.1
1,22,2233,2233,2025-09-12T08:53:07Z,5470.0,5470.0,1541.80661,3.9734000000000833,3.901360000000068,2,0.2,0.1
1,23,2311,2311,2025-09-12T08:53:16Z,5479.0,5479.0,1541.77197,3.938760000000002,3.85942,2,0.2,0.1
1,24,2394,2394,2025-09-12T08:53:25Z,5488.0,5488.0,1541.77984,3.9466299999999137,3.8702599999999165,2,0.2,0.1
1,25,2484,2484,2025-09-12T08:53:34Z,5497.0,5497.1,1541.74997,3.9167600000000675,3.834600000000137,2,0.2,0.1
1,26,2573,2573,2025-09-12T08:53:43Z,5506.0,5506.1,1541.768,3.934790000000021,3.8545400000000427,2,0.2,0.1
1,27,2660,2660,2025-09-12T08:53:52Z,5514.0,5514.888888888889,1541.70368,3.8704700000000685,3.786220000000185,2,0.2,0.1
1,28,2732,2732,2025-09-12T08:54:01Z,5524.0,5524.111111111111,1541.66437,3.8311599999999544,3.7464199999999437,2,0.2,0.1
1,29,2814,2814,2025-09-12T08:54:10Z,5533.0,5533.0,1541.61135,3.778139999999894,3.6932399999998324,2,0.2,0.1
1,30,3082,3082,2025-09-12T08:54:37Z,5560.0,5560.0,1541.92748,4.094270000000051,4.055280000000039,2,0.2,0.1
1,31,3160,3160,2025-09-12T08:54:46Z,5568.0,5568.888888888889,1541.83559,4.002379999999903,3.931640000000016,2,0.2,0.1
1,32,3244,3244,2025-09-12T08:54:55Z,5578.0,5578.1,1541.79845,3.9652399999999943,3.886919999999918,2,0.2,0.1
1,33,3332,3332,2025-09-12T08:55:04Z,5587.0,5587.0,1541.73933,3.906120000000101,3.8246100000001206,2,0.2,0.1
