channel,peak_order,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence,distance_samples,distance_seconds,prominence_threshold
1,0,518,518,2025-09-11T08:09:30Z,763.0,763.2,1561.97137,2.651444999999967,2.6091499999999996,2,0.2,0.1
1,1,618,618,2025-09-11T08:09:40Z,773.0,773.2,1562.01701,2.6970850000000155,2.6380699999999706,2,0.2,0.1
1,2,714,714,2025-09-11T08:09:50Z,783.0,783.1,1562.0391,2.71917499999995,2.6632999999999356,2,0.2,0.1
1,3,789,789,2025-09-11T08:09:59Z,792.0,792.75,1562.02633,2.7064049999999042,2.6311299999999846,2,0.2,0.1
1,4,880,880,2025-09-11T08:10:10Z,803.0,803.1,1562.02739,2.7074649999999565,2.6395800000000236,2,0.2,0.1
1,5,981,981,2025-09-11T08:10:20Z,813.0,813.2,1562.00524,2.685314999999946,2.605149999999867,2,0.2,0.1
1,6,1080,1080,2025-09-11T08:10:30Z,823.0,823.2,1561.97843,2.6585049999998773,2.5737299999998413,2,0.2,0.1
1,7,1162,1162,2025-09-11T08:10:40Z,833.0,833.1,1561.93519,2.6152649999999085,2.526399999999967,2,0.2,0.1
1,8,1243,1243,2025-09-11T08:10:49Z,842.0,842.8571428571429,1561.91113,2.5912049999999454,2.5016900000000533,2,0.2,0.1
1,9,1342,1342,2025-09-11T08:11:00Z,853.0,853.1,1561.89161,2.5716849999998885,2.481059999999843,2,0.2,0.1
1,10,1582,1582,2025-09-11T08:11:24Z,877.0,877.1,1562.13613,2.816205000000082,2.76758000000018,2,0.2,0.1
1,11,1668,1668,2025-09-11T08:11:34Z,887.0,887.1,1562.11566,2.7957349999999224,2.7119299999999384,2,0.2,0.1
1,12,1751,1751,2025-09-11T08:11:44Z,897.0,897.1,1562.10573,2.785804999999982,2.694340000000011,2,0.2,0.1
1,13,1851,1851,2025-09-11T08:11:54Z,907.0,907.1,1562.10154,2.7816150000001016,2.686820000000125,2,0.2,0.1
1,14,1952,1952,2025-09-11T08:12:04Z,917.0,917.2,1562.09021,2.770285000000058,2.6699200000000474,2,0.2,0.1
1,15,2051,2051,2025-09-11T08:12:14Z,927.0,927.1,1562.07218,2.7522549999998773,2.6505299999998897,2,0.2,0.1
1,16,2151,2151,2025-09-11T08:12:24Z,937.0,937.1,1562.09476,2.774834999999939,2.6774900000000343,2,0.2,0.1
1,17,2236,2236,2025-09-11T08:12:34Z,947.0,947.1,1562.06391,2.743985000000066,2.6398800000001756,2,0.2,0.1
1,18,2319,2319,2025-09-11T08:12:44Z,957.0,957.1,1562.04963,2.729704999999967,2.6232700000000477,2,0.2,0.1
1,19,2419,2419,2025-09-11T08:12:54Z,967.0,967.1,1562.04815,2.728225000000066,2.621900000000096,2,0.2,0.1
1,20,2853,2853,2025-09-11T08:13:41Z,1014.0,1014.1,1562.50101,3.181084999999939,3.0924499999998716,2,0.2,0.1
1,21,2936,2936,2025-09-11T08:13:51Z,1024.0,1024.1,1562.51354,3.193614999999909,3.095239999999876,2,0.2,0.1
1,22,3019,3019,2025-09-11T08:14:01Z,1034.0,1034.142857142857,1562.58424,3.264314999999897,3.158279999999877,2,0.2,0.1
1,23,3092,3092,2025-09-11T08:14:10Z,1044.0,1044.0,1562.58319,3.2632650000000467,3.153189999999995,2,0.2,0.1
1,24,3174,3174,2025-09-11T08:14:21Z,1054.0,1054.25,1562.62803,3.3081050000000687,3.250250000000051,2,0.2,0.1
1,25,3233,3233,2025-09-11T08:14:30Z,1063.0,1063.75,1562.58225,3.262324999999919,3.140859999999975,2,0.2,0.1
1,26,3315,3315,2025-09-11T08:14:41Z,1074.0,1074.1,1562.58108,3.261154999999917,3.139639999999872,2,0.2,0.1
1,27,3401,3401,2025-09-11T08:14:51Z,1084.0,1084.1,1562.59379,3.273864999999887,3.1585399999999026,2,0.2,0.1
1,28,3484,3484,2025-09-11T08:15:00Z,1093.0,1093.875,1562.56473,3.244805000000042,3.1201200000000426,2,0.2,0.1
1,29,3571,3571,2025-09-11T08:15:11Z,1104.0,1104.111111111111,1562.54734,3.2274150000000645,3.100680000000011,2,0.2,0.1
1,30,3978,3978,2025-09-11T08:16:00Z,1153.0,1153.2,1562.87877,3.5588450000000194,3.45909000000006,2,0.2,0.1
