channel,peak_order,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence,distance_samples,distance_seconds,prominence_threshold
1,0,108,108,2025-09-11T13:57:27Z,21641.0,21641.0,1539.64855,1.8949099999999817,1.8656799999998839,2,0.2,0.1
1,1,197,197,2025-09-11T13:57:36Z,21649.0,21649.9,1539.69494,1.941300000000183,1.9012800000000425,2,0.2,0.1
1,2,288,288,2025-09-11T13:57:45Z,21659.0,21659.0,1539.71743,1.9637900000000172,1.91599999999994,2,0.2,0.1
1,3,375,375,2025-09-11T13:57:54Z,21668.0,21668.0,1539.73272,1.9790800000000672,1.9255499999999302,2,0.2,0.1
1,4,447,447,2025-09-11T13:58:03Z,21677.0,21677.0,1539.74183,1.9881900000000314,1.9303399999998874,2,0.2,0.1
1,5,533,533,2025-09-11T13:58:12Z,21686.0,21686.0,1539.74419,1.9905499999999847,1.9296999999999116,2,0.2,0.1
1,6,622,622,2025-09-11T13:58:21Z,21695.0,21695.0,1539.74959,1.9959499999999935,1.9333899999999176,2,0.2,0.1
1,7,713,713,2025-09-11T13:58:31Z,21704.0,21704.1,1539.75196,1.9983200000001489,1.9333400000000438,2,0.2,0.1
1,8,802,802,2025-09-11T13:58:39Z,21713.0,21713.0,1539.7534,1.9997600000001512,1.9317399999999907,2,0.2,0.1
1,9,879,879,2025-09-11T13:58:48Z,21722.0,21722.0,1539.75841,2.0047700000000077,1.958509999999933,2,0.2,0.1
1,10,1095,1095,2025-09-11T13:59:10Z,21744.0,21744.0,1539.98627,2.2326300000001993,2.167970000000196,2,0.2,0.1
1,11,1185,1185,2025-09-11T13:59:19Z,21753.0,21753.0,1539.99914,2.2454999999999927,2.1739799999998013,2,0.2,0.1
1,12,1260,1260,2025-09-11T13:59:28Z,21762.0,21762.0,1540.00368,2.2500400000001264,2.174890000000005,2,0.2,0.1
1,13,1338,1338,2025-09-11T13:59:37Z,21770.0,21770.75,1539.99963,2.24599000000012,2.1684700000000703,2,0.2,0.1
1,14,1420,1420,2025-09-11T13:59:46Z,21780.0,21780.0,1540.01113,2.257490000000189,2.1770700000001852,2,0.2,0.1
1,15,1505,1505,2025-09-11T13:59:55Z,21789.0,21789.0,1540.01389,2.260250000000042,2.177549999999883,2,0.2,0.1
1,16,1594,1594,2025-09-11T14:00:04Z,21798.0,21798.0,1540.01732,2.263680000000022,2.20604000000003,2,0.2,0.1
1,17,1684,1684,2025-09-11T14:00:13Z,21807.0,21807.0,1540.01467,2.261030000000119,2.175999999999931,2,0.2,0.1
1,18,1763,1763,2025-09-11T14:00:22Z,21816.0,21816.0,1540.01425,2.2606100000000424,2.1743599999999788,2,0.2,0.1
1,19,1840,1840,2025-09-11T14:00:31Z,21825.0,21825.0,1540.01401,2.2603700000001936,2.173330000000078,2,0.2,0.1
1,20,2096,2096,2025-09-11T14:00:57Z,21851.0,21851.0,1540.30033,2.546690000000126,2.466370000000097,2,0.2,0.1
1,21,2182,2182,2025-09-11T14:01:06Z,21859.0,21859.9,1540.31343,2.559790000000021,2.4725499999999556,2,0.2,0.1
1,22,2262,2262,2025-09-11T14:01:15Z,21869.0,21869.0,1540.32467,2.5710300000000643,2.4787999999998647,2,0.2,0.1
1,23,2348,2348,2025-09-11T14:01:24Z,21877.0,21877.9,1540.32252,2.5688800000000356,2.4737800000000334,2,0.2,0.1
1,24,2437,2437,2025-09-11T14:01:33Z,21886.0,21886.9,1540.32438,2.5707400000001144,2.473510000000033,2,0.2,0.1
1,25,2528,2528,2025-09-11T14:01:42Z,21896.0,21896.0,1540.32849,2.574850000000197,2.4744000000000597,2,0.2,0.1
1,26,2607,2607,2025-09-11T14:01:51Z,21905.0,21905.0,1540.33074,2.5771000000002005,2.47496000000001,2,0.2,0.1
1,27,2683,2683,2025-09-11T14:02:00Z,21913.0,21913.875,1540.33228,2.5786400000001777,2.4744600000001356,2,0.2,0.1
1,28,2766,2766,2025-09-11T14:02:09Z,21923.0,21923.0,1540.33272,2.5790800000002037,2.473080000000209,2,0.2,0.1
1,29,2849,2849,2025-09-11T14:02:18Z,21931.0,21931.88888888889,1540.33758,2.583939999999984,2.5098699999998644,2,0.2,0.1
1,30,3091,3091,2025-09-11T14:02:44Z,21957.0,21957.875,1540.5802,2.8265600000001996,2.7279100000000653,2,0.2,0.1
1,31,3170,3170,2025-09-11T14:02:53Z,21966.0,21966.9,1540.59236,2.838720000000194,2.7318900000000212,2,0.2,0.1
1,32,3254,3254,2025-09-11T14:03:02Z,21975.0,21975.88888888889,1540.59488,2.841240000000198,2.729150000000118,2,0.2,0.1
1,33,3343,3343,2025-09-11T14:03:11Z,21984.0,21984.9,1540.59858,2.8449400000001788,2.730250000000069,2,0.2,0.1
1,34,3434,3434,2025-09-11T14:03:20Z,21994.0,21994.0,1540.59548,2.8418400000000474,2.7242599999999584,2,0.2,0.1
1,35,3522,3522,2025-09-11T14:03:29Z,22002.0,22002.88888888889,1540.59634,2.84270000000015,2.7208800000000792,2,0.2,0.1
1,36,3600,3600,2025-09-11T14:03:38Z,22012.0,22012.0,1540.60063,2.8469900000000052,2.7613099999998667,2,0.2,0.1
1,37,3680,3680,2025-09-11T14:03:47Z,22021.0,22021.0,1540.59197,2.8383300000000418,2.7148399999998674,2,0.2,0.1
1,38,3767,3767,2025-09-11T14:03:56Z,22029.0,22029.9,1540.59194,2.8383000000001175,2.713649999999916,2,0.2,0.1
1,39,3858,3858,2025-09-11T14:04:05Z,22039.0,22039.0,1540.58094,2.8273000000001502,2.7016900000000987,2,0.2,0.1
1,40,4155,4155,2025-09-11T14:04:37Z,22071.0,22071.0,1540.89189,3.1382500000001983,3.0229400000000624,2,0.2,0.1
1,41,4242,4242,2025-09-11T14:04:46Z,22079.0,22079.9,1540.90932,3.155680000000075,3.0308199999999488,2,0.2,0.1
1,42,4333,4333,2025-09-11T14:04:56Z,22089.0,22089.0,1540.96905,3.21541000000002,3.1050299999999424,2,0.2,0.1
1,43,4414,4414,2025-09-11T14:05:04Z,22097.0,22097.88888888889,1540.94695,3.1933100000001104,3.061820000000125,2,0.2,0.1
1,44,4491,4491,2025-09-11T14:05:13Z,22106.0,22106.88888888889,1540.94432,3.1906800000001567,3.0552900000000136,2,0.2,0.1
1,45,4573,4573,2025-09-11T14:05:22Z,22116.0,22116.0,1540.93674,3.183100000000195,3.0425800000000436,2,0.2,0.1
1,46,4661,4661,2025-09-11T14:05:31Z,22125.0,22125.0,1540.93848,3.184840000000122,3.047839999999951,2,0.2,0.1
