channel,peak_order,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence,distance_samples,distance_seconds,prominence_threshold
1,0,155,155,2025-09-04T11:50:36Z,13521.0,13521.9,1557.07458,2.338154999999915,2.3258299999999963,2,0.2,0.1
1,1,256,256,2025-09-04T11:50:47Z,13532.0,13532.875,1557.10628,2.369854999999916,2.3515800000000127,2,0.2,0.1
1,2,355,355,2025-09-04T11:50:58Z,13543.0,13543.9,1557.12819,2.3917649999998503,2.3710299999997915,2,0.2,0.1
1,3,464,464,2025-09-04T11:51:09Z,13554.0,13554.9,1557.14196,2.4055349999998725,2.3828300000000127,2,0.2,0.1
1,4,574,574,2025-09-04T11:51:20Z,13565.0,13565.9,1557.14943,2.4130049999998846,2.3885599999998703,2,0.2,0.1
1,5,682,682,2025-09-04T11:51:31Z,13576.0,13576.875,1557.15193,2.415504999999939,2.3897799999999734,2,0.2,0.1
1,6,770,770,2025-09-04T11:51:42Z,13587.0,13587.875,1557.15405,2.4176250000000437,2.391230000000178,2,0.2,0.1
1,7,872,872,2025-09-04T11:51:53Z,13598.0,13598.888888888889,1557.15412,2.417694999999867,2.3978799999999865,2,0.2,0.1
1,8,981,981,2025-09-04T11:52:04Z,13609.0,13609.9,1557.15369,2.417265000000043,2.389760000000024,2,0.2,0.1
1,9,1091,1091,2025-09-04T11:52:15Z,13620.0,13620.9,1557.14952,2.4130949999998847,2.3852999999999156,2,0.2,0.1
1,10,1270,1270,2025-09-04T11:52:35Z,13640.0,13640.9,1557.42841,2.6919849999999315,2.673129999999901,2,0.2,0.1
1,11,1371,1371,2025-09-04T11:52:46Z,13651.0,13651.888888888889,1557.42786,2.691434999999956,2.663759999999911,2,0.2,0.1
1,12,1473,1473,2025-09-04T11:52:57Z,13662.0,13662.8,1557.42026,2.6838350000000446,2.654420000000073,2,0.2,0.1
1,13,1583,1583,2025-09-04T11:53:08Z,13673.0,13673.9,1557.41722,2.680794999999989,2.6490400000000136,2,0.2,0.1
1,14,1680,1680,2025-09-04T11:53:19Z,13684.0,13684.888888888889,1557.4202,2.6837749999999687,2.6533300000000963,2,0.2,0.1
1,15,1784,1784,2025-09-04T11:53:30Z,13695.0,13695.9,1557.41167,2.6752449999999044,2.642859999999928,2,0.2,0.1
1,16,1894,1894,2025-09-04T11:53:41Z,13706.0,13706.9,1557.39434,2.6579150000000027,2.624670000000151,2,0.2,0.1
1,17,1999,1999,2025-09-04T11:53:52Z,13717.0,13717.888888888889,1557.39179,2.655364999999847,2.621509999999944,2,0.2,0.1
1,18,2094,2094,2025-09-04T11:54:03Z,13728.0,13728.75,1557.38626,2.649834999999939,2.6152799999999843,2,0.2,0.1
1,19,2202,2202,2025-09-04T11:54:14Z,13739.0,13739.9,1557.38468,2.6482549999998355,2.613439999999855,2,0.2,0.1
1,20,2581,2581,2025-09-04T11:54:56Z,13780.0,13780.888888888889,1557.71295,2.976525000000038,2.9455199999999877,2,0.2,0.1
1,21,2688,2688,2025-09-04T11:55:06Z,13791.0,13791.8,1557.71351,2.977084999999988,2.9425200000000586,2,0.2,0.1
1,22,2787,2787,2025-09-04T11:55:17Z,13802.0,13802.8,1557.71415,2.977724999999964,2.9408800000001065,2,0.2,0.1
1,23,2889,2889,2025-09-04T11:55:28Z,13813.0,13813.9,1557.71669,2.9802649999999176,2.941959999999881,2,0.2,0.1
1,24,2992,2992,2025-09-04T11:55:39Z,13824.0,13824.9,1557.72012,2.983694999999898,2.943949999999859,2,0.2,0.1
1,25,3101,3101,2025-09-04T11:55:50Z,13835.0,13835.9,1557.72972,2.993294999999989,2.9527800000000752,2,0.2,0.1
1,26,3205,3205,2025-09-04T11:56:01Z,13846.0,13846.888888888889,1557.73363,2.9972049999998944,2.970929999999953,2,0.2,0.1
1,27,3301,3301,2025-09-04T11:56:12Z,13857.0,13857.9,1557.7317,2.9952749999999924,2.9532500000000255,2,0.2,0.1
1,28,3410,3410,2025-09-04T11:56:23Z,13868.0,13868.8,1557.72606,2.9896349999999074,2.947089999999889,2,0.2,0.1
1,29,3514,3514,2025-09-04T11:56:34Z,13879.0,13879.9,1557.72437,2.987944999999854,2.944389999999885,2,0.2,0.1
1,30,3876,3876,2025-09-04T11:57:12Z,13917.0,13917.777777777777,1558.04432,3.3078949999999168,3.2738299999998617,2,0.2,0.1
1,31,3983,3983,2025-09-04T11:57:23Z,13928.0,13928.9,1558.02373,3.287304999999833,3.248019999999997,2,0.2,0.1
1,32,4091,4091,2025-09-04T11:57:34Z,13939.0,13939.9,1558.01032,3.2738950000000386,3.231480000000147,2,0.2,0.1
1,33,4198,4198,2025-09-04T11:57:45Z,13950.0,13950.9,1557.99879,3.2623650000000453,3.218180000000075,2,0.2,0.1
1,34,4293,4293,2025-09-04T11:57:56Z,13961.0,13961.888888888889,1557.98124,3.244815000000017,3.198849999999993,2,0.2,0.1
1,35,4397,4397,2025-09-04T11:58:07Z,13972.0,13972.9,1557.97259,3.236165000000028,3.189510000000155,2,0.2,0.1
1,36,4504,4504,2025-09-04T11:58:18Z,13983.0,13983.888888888889,1557.96449,3.228065000000015,3.180560000000014,2,0.2,0.1
1,37,4611,4611,2025-09-04T11:58:29Z,13994.0,13994.9,1557.9553,3.2188750000000255,3.1697699999999713,2,0.2,0.1
1,38,4704,4704,2025-09-04T11:58:40Z,14005.0,14005.714285714286,1557.95346,3.217034999999896,3.1678199999998924,2,0.2,0.1
1,39,4813,4813,2025-09-04T11:58:51Z,14016.0,14016.9,1557.95766,3.2212349999999788,3.172990000000027,2,0.2,0.1
1,40,5077,5077,2025-09-04T11:59:18Z,14043.0,14043.9,1558.36298,3.626555000000053,3.580600000000004,2,0.2,0.1
1,41,5167,5167,2025-09-04T11:59:29Z,14054.0,14054.8,1558.36675,3.630324999999857,3.5810500000000047,2,0.2,0.1
1,42,5272,5272,2025-09-04T11:59:40Z,14065.0,14065.9,1558.36979,3.6333649999999125,3.582400000000007,2,0.2,0.1
1,43,5378,5378,2025-09-04T11:59:51Z,14076.0,14076.9,1558.365,3.6285749999999553,3.575939999999946,2,0.2,0.1
1,44,5483,5483,2025-09-04T12:00:02Z,14087.0,14087.888888888889,1558.37279,3.6363649999998415,3.5824099999999817,2,0.2,0.1
