experiment_id,channel,group_index,peak_in_group,group_peak_count,is_complete_group,is_complete_channel,channel_peak_count,extra_peaks_ignored,pressure_bar,force_n,displacement_mm,layers,span_cm,crack_marker,crack_label,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence
19cm-16layers-7-s,1,0,0,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,87,87,2025-09-12T08:49:21Z,5244.0,5244.111111111111,1541.19052,3.3573100000000977,3.3254400000000714
19cm-16layers-7-s,1,0,1,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,176,176,2025-09-12T08:49:30Z,5253.0,5253.1,1541.24045,3.4072400000000016,3.3651299999999083
19cm-16layers-7-s,1,0,2,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,266,266,2025-09-12T08:49:39Z,5262.0,5262.1,1541.35094,3.5177300000000287,3.4689700000001267
19cm-16layers-7-s,1,0,3,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,350,350,2025-09-12T08:49:48Z,5271.0,5271.0,1541.37378,3.5405699999998888,3.48804999999993
19cm-16layers-7-s,1,0,4,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,424,424,2025-09-12T08:49:57Z,5280.0,5280.0,1541.62357,3.790359999999964,3.7348400000000765
19cm-16layers-7-s,1,0,5,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,508,508,2025-09-12T08:50:06Z,5289.0,5289.1,1541.6446,3.811390000000074,3.777469999999994
19cm-16layers-7-s,1,0,6,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,595,595,2025-09-12T08:50:15Z,5298.0,5298.1,1541.57784,3.7446299999999155,3.684979999999996
19cm-16layers-7-s,1,0,7,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,683,683,2025-09-12T08:50:24Z,5307.0,5307.0,1541.52873,3.6955199999999877,3.633010000000013
19cm-16layers-7-s,1,0,8,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,772,772,2025-09-12T08:50:33Z,5316.0,5316.181818181818,1541.49672,3.6635100000000875,3.5999500000000353
19cm-16layers-7-s,1,0,9,10,1,1,121,1,2.0,246,55.91,16.0,19.0,,0,850,850,2025-09-12T08:50:42Z,5325.0,5325.0,1541.44558,3.6123700000000554,3.5465300000000752
19cm-16layers-7-s,1,1,0,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1035,1035,2025-09-12T08:51:02Z,5345.0,5345.0,1541.64227,3.809060000000045,3.751560000000154
19cm-16layers-7-s,1,1,1,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1126,1126,2025-09-12T08:51:11Z,5354.0,5354.1,1541.62266,3.789449999999988,3.725500000000011
19cm-16layers-7-s,1,1,2,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1216,1216,2025-09-12T08:51:20Z,5363.0,5363.1,1541.61556,3.7823499999999513,3.7148500000000695
19cm-16layers-7-s,1,1,3,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1302,1302,2025-09-12T08:51:29Z,5372.0,5372.1,1541.66024,3.8270299999999224,3.7557299999998577
19cm-16layers-7-s,1,1,4,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1376,1376,2025-09-12T08:51:38Z,5381.0,5381.111111111111,1541.67824,3.8450299999999515,3.7722799999999097
19cm-16layers-7-s,1,1,5,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1458,1458,2025-09-12T08:51:47Z,5390.0,5390.0,1541.62471,3.791500000000042,3.71837000000005
19cm-16layers-7-s,1,1,6,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1548,1548,2025-09-12T08:51:56Z,5399.0,5399.1,1541.70243,3.869220000000041,3.8336000000001604
19cm-16layers-7-s,1,1,7,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1637,1637,2025-09-12T08:52:05Z,5408.0,5408.1,1541.67103,3.837819999999965,3.763050000000021
19cm-16layers-7-s,1,1,8,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1726,1726,2025-09-12T08:52:14Z,5417.0,5417.0,1541.61624,3.7830300000000534,3.7066999999999553
19cm-16layers-7-s,1,1,9,10,1,1,121,1,2.2,268,56.9,16.0,19.0,,0,1805,1805,2025-09-12T08:52:23Z,5426.0,5426.111111111111,1541.58547,3.7522599999999784,3.675899999999956
19cm-16layers-7-s,1,2,0,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2055,2055,2025-09-12T08:52:49Z,5452.0,5452.1,1541.89702,4.063810000000103,4.022220000000061
19cm-16layers-7-s,1,2,1,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2144,2144,2025-09-12T08:52:58Z,5461.0,5461.0,1541.85421,4.020999999999958,3.9564000000000306
19cm-16layers-7-s,1,2,2,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2233,2233,2025-09-12T08:53:07Z,5470.0,5470.0,1541.80661,3.9734000000000833,3.901360000000068
19cm-16layers-7-s,1,2,3,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2311,2311,2025-09-12T08:53:16Z,5479.0,5479.0,1541.77197,3.938760000000002,3.85942
19cm-16layers-7-s,1,2,4,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2394,2394,2025-09-12T08:53:25Z,5488.0,5488.0,1541.77984,3.9466299999999137,3.8702599999999165
19cm-16layers-7-s,1,2,5,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2484,2484,2025-09-12T08:53:34Z,5497.0,5497.1,1541.74997,3.9167600000000675,3.834600000000137
19cm-16layers-7-s,1,2,6,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2573,2573,2025-09-12T08:53:43Z,5506.0,5506.1,1541.768,3.934790000000021,3.8545400000000427
19cm-16layers-7-s,1,2,7,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2660,2660,2025-09-12T08:53:52Z,5514.0,5514.888888888889,1541.70368,3.8704700000000685,3.786220000000185
19cm-16layers-7-s,1,2,8,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2732,2732,2025-09-12T08:54:01Z,5524.0,5524.111111111111,1541.66437,3.8311599999999544,3.7464199999999437
19cm-16layers-7-s,1,2,9,10,1,1,121,1,2.4,287,58.26,16.0,19.0,,0,2814,2814,2025-09-12T08:54:10Z,5533.0,5533.0,1541.61135,3.778139999999894,3.6932399999998324
19cm-16layers-7-s,1,3,0,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3082,3082,2025-09-12T08:54:37Z,5560.0,5560.0,1541.92748,4.094270000000051,4.055280000000039
19cm-16layers-7-s,1,3,1,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3160,3160,2025-09-12T08:54:46Z,5568.0,5568.888888888889,1541.83559,4.002379999999903,3.931640000000016
19cm-16layers-7-s,1,3,2,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3244,3244,2025-09-12T08:54:55Z,5578.0,5578.1,1541.79845,3.9652399999999943,3.886919999999918
19cm-16layers-7-s,1,3,3,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3332,3332,2025-09-12T08:55:04Z,5587.0,5587.0,1541.73933,3.906120000000101,3.8246100000001206
19cm-16layers-7-s,1,3,4,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3421,3421,2025-09-12T08:55:13Z,5596.0,5596.0,1541.721,3.8877899999999954,3.805020000000013
19cm-16layers-7-s,1,3,5,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3511,3511,2025-09-12T08:55:22Z,5605.0,5605.1,1541.67313,3.8399199999998928,3.754939999999806
19cm-16layers-7-s,1,3,6,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3588,3588,2025-09-12T08:55:31Z,5614.0,5614.0,1541.64691,3.813699999999926,3.7265299999999115
19cm-16layers-7-s,1,3,7,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3671,3671,2025-09-12T08:55:40Z,5623.0,5623.0,1541.61493,3.7817199999999502,3.695609999999988
19cm-16layers-7-s,1,3,8,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3753,3753,2025-09-12T08:55:49Z,5632.0,5632.0,1541.5851,3.751890000000003,3.6649099999999635
19cm-16layers-7-s,1,3,9,10,1,1,121,1,2.6,306,59.8,16.0,19.0,,0,3843,3843,2025-09-12T08:55:58Z,5641.0,5641.1,1541.56818,3.7349699999999757,3.647040000000061
19cm-16layers-7-s,1,4,0,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4140,4140,2025-09-12T08:56:30Z,5672.0,5672.625,1541.98623,4.1530199999999695,4.081629999999905
19cm-16layers-7-s,1,4,1,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4226,4226,2025-09-12T08:56:39Z,5681.0,5681.888888888889,1541.99228,4.159069999999929,4.11974999999984
19cm-16layers-7-s,1,4,2,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4309,4309,2025-09-12T08:56:47Z,5690.0,5690.5,1541.97022,4.137009999999918,4.05706999999984
19cm-16layers-7-s,1,4,3,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4400,4400,2025-09-12T08:56:57Z,5699.0,5699.7,1541.9533,4.120089999999891,4.035809999999856
19cm-16layers-7-s,1,4,4,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4491,4491,2025-09-12T08:57:06Z,5708.0,5708.8,1541.91384,4.080629999999928,3.9928800000000138
19cm-16layers-7-s,1,4,5,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4571,4571,2025-09-12T08:57:14Z,5717.0,5717.285714285715,1541.83713,4.00391999999988,3.9131199999999353
19cm-16layers-7-s,1,4,6,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4645,4645,2025-09-12T08:57:23Z,5726.0,5726.375,1541.80962,3.976409999999987,3.885880000000043
19cm-16layers-7-s,1,4,7,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4726,4726,2025-09-12T08:57:32Z,5735.0,5735.333333333333,1541.79745,3.964240000000018,3.871620000000121
19cm-16layers-7-s,1,4,8,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4815,4815,2025-09-12T08:57:41Z,5744.0,5744.3,1541.79083,3.957619999999906,3.8638899999998557
19cm-16layers-7-s,1,4,9,10,1,1,121,1,2.8,330,61.71,16.0,19.0,1,1,4912,4912,2025-09-12T08:57:51Z,5754.0,5754.0,1541.78252,3.9493099999999686,3.854409999999916
19cm-16layers-7-s,1,5,0,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5110,5110,2025-09-12T08:58:12Z,5775.0,5775.0,1541.77228,3.9390699999999015,3.88169999999991
19cm-16layers-7-s,1,5,1,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5182,5182,2025-09-12T08:58:20Z,5783.0,5783.555555555556,1541.76982,3.9366099999999733,3.8529799999998886
19cm-16layers-7-s,1,5,2,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5268,5268,2025-09-12T08:58:30Z,5793.0,5793.0,1541.71266,3.879449999999906,3.790610000000015
19cm-16layers-7-s,1,5,3,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5355,5355,2025-09-12T08:58:39Z,5801.0,5801.8,1541.68693,3.8537200000000666,3.7594000000001415
19cm-16layers-7-s,1,5,4,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5447,5447,2025-09-12T08:58:48Z,5811.0,5811.1,1541.67606,3.8428499999999985,3.7463399999999183
19cm-16layers-7-s,1,5,5,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5534,5534,2025-09-12T08:58:57Z,5819.0,5819.9,1541.69384,3.860629999999901,3.7634599999998954
19cm-16layers-7-s,1,5,6,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5620,5620,2025-09-12T08:59:06Z,5828.0,5828.777777777777,1541.7092,3.8759900000000016,3.783730000000105
19cm-16layers-7-s,1,5,7,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5700,5700,2025-09-12T08:59:15Z,5838.0,5838.0,1541.70509,3.871879999999919,3.773779999999988
19cm-16layers-7-s,1,5,8,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5777,5777,2025-09-12T08:59:24Z,5846.0,5846.75,1541.70143,3.868220000000065,3.768690000000106
19cm-16layers-7-s,1,5,9,10,1,1,121,1,3.0,352,61.71,16.0,19.0,1,1,5865,5865,2025-09-12T08:59:33Z,5856.0,5856.0,1541.62761,3.794399999999996,3.6938900000000103
19cm-16layers-7-s,1,6,0,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6006,6006,2025-09-12T08:59:48Z,5871.0,5871.0,1541.63171,3.7985000000001037,3.705520000000206
19cm-16layers-7-s,1,6,1,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6089,6089,2025-09-12T08:59:57Z,5880.0,5880.0,1541.63326,3.8000500000000557,3.7024900000001253
19cm-16layers-7-s,1,6,2,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6164,6164,2025-09-12T09:00:06Z,5889.0,5889.0,1541.64179,3.8085799999998926,3.733069999999998
19cm-16layers-7-s,1,6,3,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6250,6250,2025-09-12T09:00:15Z,5897.0,5897.9,1541.46246,3.6292499999999563,3.5304899999998725
19cm-16layers-7-s,1,6,4,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6332,6332,2025-09-12T09:00:23Z,5906.0,5906.1,1541.40945,3.576240000000098,3.477440000000115
19cm-16layers-7-s,1,6,5,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6428,6428,2025-09-12T09:00:33Z,5915.0,5915.9,1541.37673,3.543519999999944,3.444129999999859
19cm-16layers-7-s,1,6,6,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6513,6513,2025-09-12T09:00:42Z,5925.0,5925.1,1541.369,3.5357899999999063,3.4364799999998468
19cm-16layers-7-s,1,6,7,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6599,6599,2025-09-12T09:00:51Z,5934.0,5934.0,1541.42858,3.5953700000000026,3.4945900000000165
19cm-16layers-7-s,1,6,8,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6677,6677,2025-09-12T09:01:00Z,5942.0,5942.9,1541.5103,3.6770899999999074,3.5758999999998196
19cm-16layers-7-s,1,6,9,10,1,1,121,1,3.0,352,61.71,16.0,19.0,2,1,6765,6765,2025-09-12T09:01:09Z,5952.0,5952.0,1541.51483,3.6816200000000663,3.5831000000000586
19cm-16layers-7-s,1,7,0,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7136,7136,2025-09-12T09:01:48Z,5991.0,5991.0,1541.5029,3.669689999999946,3.6249299999999494
19cm-16layers-7-s,1,7,1,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7220,7220,2025-09-12T09:01:56Z,5999.0,5999.4,1541.48884,3.6556299999999737,3.5802799999999024
19cm-16layers-7-s,1,7,2,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7308,7308,2025-09-12T09:02:05Z,6008.0,6008.2,1541.44619,3.6129799999998795,3.5298099999999977
19cm-16layers-7-s,1,7,3,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7396,7396,2025-09-12T09:02:14Z,6017.0,6017.2,1541.40981,3.5766000000000986,3.4898800000000847
19cm-16layers-7-s,1,7,4,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7482,7482,2025-09-12T09:02:23Z,6026.0,6026.1,1541.38412,3.5509099999999307,3.4605599999999868
19cm-16layers-7-s,1,7,5,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7569,7569,2025-09-12T09:02:33Z,6036.0,6036.111111111111,1541.37389,3.5406800000000658,3.449389999999994
19cm-16layers-7-s,1,7,6,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7647,7647,2025-09-12T09:02:42Z,6045.0,6045.1,1541.36936,3.536149999999907,3.4446499999999105
19cm-16layers-7-s,1,7,7,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7728,7728,2025-09-12T09:02:50Z,6053.0,6053.3,1541.40697,3.573759999999993,3.485550000000103
19cm-16layers-7-s,1,7,8,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7824,7824,2025-09-12T09:03:00Z,6063.0,6063.0,1541.39221,3.558999999999969,3.4674099999999726
19cm-16layers-7-s,1,7,9,10,1,1,121,1,2.8,333,61.71,16.0,19.0,,0,7900,7900,2025-09-12T09:03:08Z,6071.0,6071.125,1541.37353,3.540320000000065,3.446390000000065
19cm-16layers-7-s,1,8,0,10,1,1,121,1,2.6,310,61.71,16.0,19.0,,0,8297,8297,2025-09-12T09:03:51Z,6113.0,6113.857142857143,1541.35595,3.522739999999885,3.4774499999998625
19cm-16layers-7-s,1,8,1,10,1,1,121,1,2.6,310,61.71,16.0,19.0,,0,8375,8375,2025-09-12T09:03:59Z,6122.0,6122.5,1541.32083,3.487619999999879,3.41895999999997
19cm-16layers-7-s,1,8,2,10,1,1,121,1,2.6,310,61.71,16.0,19.0,,0,8461,8461,2025-09-12T09:04:08Z,6131.0,6131.333333333333,1541.29185,3.4586400000000594,3.377340000000004
