experiment_id,channel,group_index,peak_in_group,group_peak_count,is_complete_group,is_complete_channel,channel_peak_count,extra_peaks_ignored,pressure_bar,force_n,displacement_mm,layers,span_cm,crack_marker,crack_label,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence
19cm-16layers-1-s,3,0,0,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,518,518,2025-09-11T08:09:30Z,763.0,763.2,1532.42298,3.110980000000154,3.0547100000001137
19cm-16layers-1-s,3,0,1,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,618,618,2025-09-11T08:09:40Z,773.0,773.2,1532.50919,3.1971900000000915,3.122139999999945
19cm-16layers-1-s,3,0,2,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,714,714,2025-09-11T08:09:50Z,783.0,783.1,1532.5599,3.2479000000000724,3.1617499999999836
19cm-16layers-1-s,3,0,3,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,789,789,2025-09-11T08:09:59Z,792.0,792.75,1532.58841,3.276410000000169,3.18119999999999
19cm-16layers-1-s,3,0,4,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,880,880,2025-09-11T08:10:10Z,803.0,803.1,1532.62705,3.3150500000001557,3.213079999999991
19cm-16layers-1-s,3,0,5,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,981,981,2025-09-11T08:10:20Z,813.0,813.2,1532.63718,3.3251800000000458,3.2459799999999177
19cm-16layers-1-s,3,0,6,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,1080,1080,2025-09-11T08:10:30Z,823.0,823.2,1532.6289,3.3169000000000324,3.208539999999857
19cm-16layers-1-s,3,0,7,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,1162,1162,2025-09-11T08:10:40Z,833.0,833.1,1532.58959,3.2775900000001457,3.163379999999961
19cm-16layers-1-s,3,0,8,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,1243,1243,2025-09-11T08:10:49Z,842.0,842.8571428571429,1532.56484,3.2528400000001056,3.136760000000095
19cm-16layers-1-s,3,0,9,10,1,1,120,0,1.0,140,51.91,16.0,19.0,,0,1342,1342,2025-09-11T08:11:00Z,853.0,853.1,1532.5539,3.2419000000002143,3.1234600000000228
19cm-16layers-1-s,3,1,0,10,1,1,120,0,1.2,163,53.63,16.0,19.0,,0,1582,1582,2025-09-11T08:11:24Z,877.0,877.1,1532.95995,3.647950000000037,3.5346199999999044
19cm-16layers-1-s,3,1,1,10,1,1,120,0,1.2,163,53.63,16.0,19.0,,0,1668,1668,2025-09-11T08:11:34Z,887.0,887.1,1532.99532,3.6833200000000943,3.5591199999998935
19cm-16layers-1-s,3,1,2,10,1,1,120,0,1.2,163,53.63,16.0,19.0,,0,1751,1751,2025-09-11T08:11:44Z,897.0,897.1,1533.01023,3.698230000000194,3.5683400000000347
19cm-16layers-1-s,3,1,3,10,1,1,120,0,1.2,163,53.63,16.0,19.0,,0,1851,1851,2025-09-11T08:11:54Z,907.0,907.1,1533.02074,3.7087400000000343,3.6303499999999076
