experiment_id,channel,group_index,peak_in_group,group_peak_count,is_complete_group,is_complete_channel,channel_peak_count,extra_peaks_ignored,pressure_bar,force_n,displacement_mm,layers,span_cm,crack_marker,crack_label,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence
19cm-19layers-1-s,2,0,0,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,93,93,2025-09-09T12:57:39Z,145.0,145.2,1541.94873,4.934400000000096,4.84613000000013
19cm-19layers-1-s,2,0,1,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,180,180,2025-09-09T12:57:48Z,154.0,154.125,1542.03311,5.018780000000106,4.910350000000108
19cm-19layers-1-s,2,0,2,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,254,254,2025-09-09T12:57:56Z,163.0,163.0,1542.06218,5.047849999999926,4.928869999999961
19cm-19layers-1-s,2,0,3,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,338,338,2025-09-09T12:58:06Z,172.0,172.2,1542.08715,5.0728200000000925,4.944880000000012
19cm-19layers-1-s,2,0,4,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,426,426,2025-09-09T12:58:15Z,181.0,181.2,1542.1031,5.088770000000068,4.954460000000154
19cm-19layers-1-s,2,0,5,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,502,502,2025-09-09T12:58:24Z,190.0,190.2,1542.11482,5.100490000000036,4.961060000000089
19cm-19layers-1-s,2,0,6,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,591,591,2025-09-09T12:58:33Z,199.0,199.2,1542.11989,5.105559999999969,4.961739999999963
19cm-19layers-1-s,2,0,7,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,669,669,2025-09-09T12:58:42Z,208.0,208.125,1542.1249,5.1105700000000525,4.964609999999993
19cm-19layers-1-s,2,0,8,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,749,749,2025-09-09T12:58:51Z,217.0,217.22222222222223,1542.13038,5.116050000000087,4.966160000000173
19cm-19layers-1-s,2,0,9,10,1,1,120,0,1.0,140,43.89,19.0,19.0,,0,834,834,2025-09-09T12:59:00Z,226.0,226.2,1542.13719,5.122859999999946,5.010620000000017
19cm-19layers-1-s,2,1,0,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1041,1041,2025-09-09T12:59:22Z,248.0,248.125,1542.78532,5.770989999999983,5.6255799999999
19cm-19layers-1-s,2,1,1,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1114,1114,2025-09-09T12:59:31Z,257.0,257.0,1542.81251,5.798180000000002,5.642710000000079
19cm-19layers-1-s,2,1,2,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1196,1196,2025-09-09T12:59:40Z,266.0,266.2,1542.8342,5.819870000000037,5.657380000000103
19cm-19layers-1-s,2,1,3,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1281,1281,2025-09-09T12:59:49Z,275.0,275.2,1542.85185,5.8375200000000405,5.670119999999997
19cm-19layers-1-s,2,1,4,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1368,1368,2025-09-09T12:59:58Z,284.0,284.1,1542.85421,5.839879999999994,5.6684999999999945
19cm-19layers-1-s,2,1,5,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1446,1446,2025-09-09T13:00:07Z,293.0,293.2,1542.8588,5.844470000000001,5.669370000000072
19cm-19layers-1-s,2,1,6,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1526,1526,2025-09-09T13:00:16Z,302.0,302.1,1542.86039,5.8460600000000795,5.667030000000068
19cm-19layers-1-s,2,1,7,10,1,1,120,0,1.2,163,45.19,19.0,19.0,,0,1601,1601,2025-09-09T13:00:25Z,311.0,311.1111111111111,1542.86805,5.853720000000067,5.673459999999977
