experiment_id,channel,group_index,peak_in_group,group_peak_count,is_complete_group,is_complete_channel,channel_peak_count,extra_peaks_ignored,pressure_bar,force_n,displacement_mm,layers,span_cm,crack_marker,crack_label,row_index,sample_index,timestamp,time_s,effective_time_s,wavelength_nm,delta_nm,prominence
27cm-12layers-5,14,0,0,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,9149,9149,2025-08-27T13:06:19Z,1687.0,1687.4,1524.18076,0.005010000000083892,0.3450800000000527
27cm-12layers-5,14,0,1,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,9151,9151,2025-08-27T13:06:19Z,1687.0,1687.6,1524.18662,0.010870000000068103,1.0979800000000068
27cm-12layers-5,14,0,2,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,9321,9321,2025-08-27T13:06:36Z,1704.0,1704.6666666666667,1523.04889,-1.1268599999998514,5.299260000000004
27cm-12layers-5,14,0,3,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,10456,10456,2025-08-27T13:08:37Z,1825.0,1825.1,1520.92258,-3.2531699999999546,1.7216499999999542
27cm-12layers-5,14,0,4,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,10831,10831,2025-08-27T13:09:16Z,1864.0,1864.6,1523.77917,-0.39657999999985805,7.206640000000107
27cm-12layers-5,14,0,5,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,11044,11044,2025-08-27T13:09:38Z,1886.0,1886.5555555555557,1524.76732,0.591570000000047,6.534919999999829
27cm-12layers-5,14,0,6,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,11605,11605,2025-08-27T13:10:37Z,1945.0,1945.75,1533.38856,9.212810000000218,21.320360000000164
27cm-12layers-5,14,0,7,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,12002,12002,2025-08-27T13:11:20Z,1988.0,1988.375,1522.2905,-1.8852499999998145,1.4464000000000397
27cm-12layers-5,14,0,8,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,13143,13143,2025-08-27T13:13:21Z,2109.0,2109.6,1532.88275,8.707000000000107,12.318950000000086
27cm-12layers-5,14,0,9,10,1,0,35,0,1.0,147,61.34,12.0,27.0,,0,13276,13276,2025-08-27T13:13:34Z,2122.0,2122.9,1532.43904,8.263290000000097,1.4795799999999417
27cm-12layers-5,14,1,0,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13294,13294,2025-08-27T13:13:36Z,2124.0,2124.777777777778,1531.780395,7.604645000000119,0.6561249999999745
27cm-12layers-5,14,1,1,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13297,13297,2025-08-27T13:13:37Z,2125.0,2125.1111111111113,1532.43652,8.260770000000093,1.312249999999949
27cm-12layers-5,14,1,2,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13305,13305,2025-08-27T13:13:37Z,2126.0,2126.0,1532.50893,8.333180000000084,0.12255000000004657
27cm-12layers-5,14,1,3,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13307,13307,2025-08-27T13:13:38Z,2126.0,2126.2,1532.50893,8.333180000000084,0.12255000000004657
27cm-12layers-5,14,1,4,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13311,13311,2025-08-27T13:13:38Z,2126.0,2126.6,1532.548275,8.372525000000223,1.6525050000000192
27cm-12layers-5,14,1,5,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13420,13420,2025-08-27T13:13:51Z,2139.0,2139.625,1532.50613,8.330380000000105,13.495570000000043
27cm-12layers-5,14,1,6,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13527,13527,2025-08-27T13:14:03Z,2151.0,2151.2,1532.50169,8.325940000000173,1.2422699999999622
27cm-12layers-5,14,1,7,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13536,13536,2025-08-27T13:14:04Z,2152.0,2152.1,1532.52333,8.347580000000107,7.612949999999955
27cm-12layers-5,14,1,8,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13653,13653,2025-08-27T13:14:15Z,2163.0,2163.8888888888887,1533.10618,8.930430000000115,0.2602449999999408
27cm-12layers-5,14,1,9,10,1,0,35,0,1.2,166,62.82,12.0,27.0,,0,13671,13671,2025-08-27T13:14:17Z,2165.0,2165.7,1533.15612,8.980370000000221,14.251920000000155
