Timestamp	Time [s]	WL 1[nm]	
2025-08-11T13:09:25Z	3453.00000	1555.03730	1537.98573	1524.94747
2025-08-11T13:09:26Z	3453.00000	1555.03700	1537.98499	1524.94712
2025-08-11T13:09:26Z	3453.00000	1555.03755	1537.98517	1524.94730
2025-08-11T13:09:26Z	3453.00000	1555.03716	1537.98402	1524.94704
2025-08-11T13:09:26Z	3453.00000	1555.03745	1537.98507	1524.94701
2025-08-11T13:09:26Z	3453.00000	1555.03743	1537.98455	1524.94680
2025-08-11T13:09:26Z	3454.00000	1555.03735	1537.98411	1524.94725
2025-08-11T13:09:26Z	3454.00000	1555.03729	1537.98415	1524.94771
2025-08-11T13:09:26Z	3454.00000	1555.03681	1537.98420	1524.94747
2025-08-11T13:09:26Z	3454.00000	1555.03751	1537.98476	1524.94760
2025-08-11T13:09:27Z	3454.00000	1555.03677	1537.98405	1524.94717
2025-08-11T13:09:27Z	3454.00000	1555.03732	1537.98520	1524.94727
2025-08-11T13:09:27Z	3454.00000	1555.03697	1537.98581	1524.94721
2025-08-11T13:09:27Z	3454.00000	1555.03690	1537.98534	1524.94725
2025-08-11T13:09:27Z	3454.00000	1555.03732	1537.98525	1524.94723
2025-08-11T13:09:27Z	3455.00000	1555.03714	1537.98436	1524.94731
2025-08-11T13:09:27Z	3455.00000	1555.03729	1537.98524	1524.94701
2025-08-11T13:09:27Z	3455.00000	1555.03708	1537.98426	1524.94705
2025-08-11T13:09:27Z	3455.00000	1555.03689	1537.98488	1524.94685
2025-08-11T13:09:27Z	3455.00000	1555.03724	1537.98516	1524.94693
2025-08-11T13:09:28Z	3455.00000	1555.03725	1537.98412	1524.94694
2025-08-11T13:09:28Z	3455.00000	1555.03731	1537.98488	1524.94710
2025-08-11T13:09:28Z	3455.00000	1555.03730	1537.98488	1524.94689
2025-08-11T13:09:28Z	3455.00000	1555.03767	1537.98485	1524.94720
2025-08-11T13:09:28Z	3455.00000	1555.03741	1537.98431	1524.94738
2025-08-11T13:09:28Z	3456.00000	1555.03712	1537.98431	1524.94738
2025-08-11T13:09:28Z	3456.00000	1555.03718	1537.98563	1524.94673
2025-08-11T13:09:28Z	3456.00000	1555.03706	1537.98547	1524.94679
2025-08-11T13:09:28Z	3456.00000	1555.03702	1537.98457	1524.94675
2025-08-11T13:09:28Z	3456.00000	1555.03688	1537.98513	1524.94682
