Timestamp	Time [s]	WL 1[nm]	
2025-09-09T12:57:29Z	135.00000	1554.12654	1537.01477	1524.03267
2025-09-09T12:57:29Z	136.00000	1554.12658	1537.01474	1524.03258
2025-09-09T12:57:30Z	136.00000	1554.12653	1537.01480	1524.03263
2025-09-09T12:57:30Z	136.00000	1554.12653	1537.01476	1524.03256
2025-09-09T12:57:30Z	136.00000	1554.12645	1537.01474	1524.03254
2025-09-09T12:57:30Z	136.00000	1554.12644	1537.01471	1524.03249
2025-09-09T12:57:30Z	136.00000	1554.12639	1537.01475	1524.03257
2025-09-09T12:57:30Z	136.00000	1554.12642	1537.01473	1524.03249
2025-09-09T12:57:30Z	136.00000	1554.12635	1537.01470	1524.03241
2025-09-09T12:57:30Z	136.00000	1554.12628	1537.01470	1524.03236
2025-09-09T12:57:30Z	136.00000	1554.12627	1537.01466	1524.03234
2025-09-09T12:57:30Z	137.00000	1554.12625	1537.01464	1524.03237
2025-09-09T12:57:31Z	137.00000	1554.12625	1537.01459	1524.03235
2025-09-09T12:57:31Z	137.00000	1554.12618	1537.01458	1524.03226
2025-09-09T12:57:31Z	137.00000	1554.12618	1537.01454	1524.03228
2025-09-09T12:57:31Z	137.00000	1554.12611	1537.01453	1524.03212
2025-09-09T12:57:31Z	137.00000	1554.12607	1537.01455	1524.03220
2025-09-09T12:57:31Z	137.00000	1554.12607	1537.01445	1524.03209
2025-09-09T12:57:31Z	137.00000	1554.12599	1537.01447	1524.03207
2025-09-09T12:57:31Z	137.00000	1554.12604	1537.01444	1524.03214
2025-09-09T12:57:31Z	137.00000	1554.12598	1537.01441	1524.03209
2025-09-09T12:57:31Z	138.00000	1554.12588	1537.01441	1524.03202
2025-09-09T12:57:32Z	138.00000	1554.12584	1537.01448	1524.03211
2025-09-09T12:57:32Z	138.00000	1554.12587	1537.01430	1524.03192
2025-09-09T12:57:32Z	138.00000	1554.12572	1537.01447	1524.03198
2025-09-09T12:57:32Z	138.00000	1554.12578	1537.01425	1524.03202
2025-09-09T12:57:32Z	138.00000	1554.12576	1537.01434	1524.03203
2025-09-09T12:57:32Z	138.00000	1554.12570	1537.01431	1524.03203
2025-09-09T12:57:32Z	138.00000	1554.12569	1537.01425	1524.03186
2025-09-09T12:57:32Z	138.00000	1554.12567	1537.01432	1524.03199
2025-09-09T12:57:32Z	138.00000	1554.12568	1537.01421	1524.03192
